,Classical,South Indian,Bollywood/Hindi,Regional/Folk,Devotional
California,1,2,3,4,5
Texas,5,3,2,1,4
Florida,4,3,1,2,5
New York,3,4,1,2,5
Washington,3,2,1,4,5
Ohio,3,2,1,4,5
Pennsylvania,3,5,2,1,4
Hawaii,3,5,2,1,4
Illinois,3,4,1,2,5
Virginia,3,2,1,4,5
North Carolina,2,5,1,3,4
Michigan,2,5,1,3,4
Oklahoma,4,5,1,2,3
Georgia,4,2,1,3,5
Arizona,3,4,2,1,5
